NOP: 60
NINT: 17
0 87 2
87 112 3
112 217 4
217 477 5
477 748 6
748 992 7
992 1012 8
1012 1265 9
1265 1483 10
1483 1676 9
1676 1693 8
1693 1806 7
1806 2027 6
2027 2269 5
2269 2541 4
2541 2846 3
2846 300000 2
1 54 1505
2 72 1150
3 49 1065
4 35 1285
5 92 373
6 1 568
7 50 190
8 6 186
9 94 383
10 24 663
11 37 1180
12 28 126
13 62 330
14 80 922
15 40 1198
16 5 964
17 44 739
18 92 1272
19 53 685
20 76 269
21 43 825
22 10 403
23 99 1302
24 70 856
25 31 1299
26 7 957
27 14 1060
28 96 1167
29 32 83
30 22 369
31 48 1297
32 54 62
33 27 1347
34 48 1179
35 21 780
36 84 515
37 11 317
38 65 1031
39 88 1027
40 19 744
41 85 716
42 55 1462
43 24 36
44 83 1096
45 39 1336
46 75 870
47 88 174
48 90 1516
49 5 62
50 29 1277
51 91 140
52 50 476
53 33 1316
54 11 1527
55 98 1248
56 58 361
57 42 1355
58 31 1403
59 98 1150
60 87 841
