NOP: 60
NINT: 14
0 46 5
46 99 6
99 135 7
135 179 8
179 209 9
209 246 10
246 291 9
291 324 8
324 363 7
363 413 6
413 445 5
445 475 4
475 512 3
512 300000 2
1 39 146
2 48 350
3 69 420
4 81 224
5 74 154
6 31 248
7 69 324
8 32 407
9 81 490
10 83 297
11 32 509
12 62 80
13 30 495
14 49 299
15 65 415
16 70 140
17 85 175
18 85 257
19 60 115
20 59 291
21 55 380
22 47 480
23 62 443
24 41 70
25 74 88
26 82 99
27 67 194
28 56 196
29 44 408
30 28 419
31 87 221
32 53 57
33 36 43
34 35 269
35 95 223
36 83 384
37 21 212
38 36 106
39 90 214
40 81 224
41 58 141
42 62 296
43 46 490
44 36 267
45 28 426
46 56 282
47 75 447
48 85 496
49 88 435
50 31 91
51 60 402
52 40 404
53 32 412
54 74 249
55 94 237
56 70 225
57 50 509
58 24 249
59 39 365
60 51 190
