/ + Math.max + + - instancia.p[tarea] 0.1 Math.min Math.min Math.min instancia.d[tarea] intervalo.inicio null null null null intervalo.inicio instancia.p[tarea] promedioDuraciones() instancia.p[tarea] promedioDuraciones() instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + / + + / 0.1 Math.max + / 0.1 / + instancia.d[tarea] null null - instancia.p[tarea] 0.1 / 1.0 instancia.p[tarea] null null 1.0 instancia.p[tarea] 1.0 0.8 null null null null null null instancia.d[tarea] intervalo.inicio null null null null 1.0 instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - Math.max + Math.max instancia.d[tarea] - intervalo.inicio instancia.p[tarea] instancia.d[tarea] - null null - / null null null null null null + / null null null null + / instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] instancia.d[tarea] instancia.p[tarea] null null null null null null null null intervalo.inicio instancia.p[tarea] intervalo.inicio intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / Math.min - * instancia.d[tarea] intervalo.inicio Math.min - * / null null null null intervalo.inicio promedioDuraciones() instancia.d[tarea] intervalo.inicio Math.min / instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
+ / / Math.min + Math.min + - - instancia.p[tarea] 0.7 0.7 - intervalo.inicio 0.7 intervalo.inicio instancia.d[tarea] instancia.d[tarea] + null null null null null null intervalo.inicio + null null null null null null null null null null instancia.p[tarea] instancia.d[tarea] null null null null null null null null null null null null null null instancia.p[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - Math.max * Math.max + + instancia.p[tarea] 0.6 + instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] intervalo.inicio intervalo.inicio null null null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- - Math.max Math.max Math.max + instancia.d[tarea] instancia.p[tarea] null + instancia.d[tarea] instancia.p[tarea] Math.max null null null null null null instancia.p[tarea] Math.max null null null null intervalo.inicio null null null null null null null null null null null null null null null intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
/ / + / - intervalo.inicio - 0.7 instancia.p[tarea] Math.max * null null Math.max Math.max null null null null intervalo.inicio instancia.d[tarea] Math.max 0.7 null null null null intervalo.inicio instancia.d[tarea] intervalo.inicio instancia.p[tarea] null null null null null null null null null null null null instancia.p[tarea] intervalo.inicio null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
- * instancia.p[tarea] / * null null + + / + null null null null intervalo.inicio instancia.d[tarea] instancia.p[tarea] instancia.p[tarea] + + + - null null null null null null null null null null null null null null null null promedioDuraciones() intervalo.inicio instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] instancia.p[tarea] intervalo.inicio instancia.d[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
* / + + Math.pow + - / - instancia.p[tarea] null Math.min - Math.min - promedioDuraciones() / instancia.d[tarea] instancia.p[tarea] null null null null - intervalo.inicio Math.min - intervalo.inicio instancia.d[tarea] instancia.d[tarea] instancia.p[tarea] null null instancia.d[tarea] intervalo.inicio null null null null null null null null null null null null instancia.d[tarea] instancia.p[tarea] null null instancia.p[tarea] intervalo.inicio instancia.d[tarea] instancia.p[tarea] null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null null 
