NOP: 60
NINT: 16
0 42 3
42 79 4
79 122 5
122 165 6
165 198 7
198 236 8
236 268 9
268 306 10
306 348 9
348 381 8
381 424 7
424 464 6
464 506 5
506 526 4
526 576 3
576 300000 2
1 91 388
2 93 324
3 54 194
4 56 512
5 31 119
6 38 397
7 78 452
8 41 416
9 45 395
10 98 230
11 77 515
12 54 94
13 55 293
14 91 413
15 47 109
16 33 207
17 89 442
18 77 239
19 67 528
20 80 555
21 98 433
22 60 278
23 29 243
24 25 58
25 47 212
26 67 131
27 77 273
28 29 45
29 56 325
30 90 296
31 82 84
32 43 263
33 55 588
34 80 478
35 38 222
36 56 187
37 28 442
38 38 387
39 68 237
40 61 83
41 59 87
42 23 374
43 20 524
44 35 539
45 34 150
46 91 115
47 87 544
48 38 386
49 50 267
50 95 105
51 53 224
52 55 550
53 94 147
54 98 199
55 78 120
56 55 378
57 86 392
58 67 190
59 43 387
60 26 183
