	Twt	Nwt	Fwt	Cmax	Lmax	ETwt	Musage	Etw	Cw	Tmax	Fmax
	14.2783	6.81103	185.866	39.2333	100.619	964.582	0.139113	-950.304	905.545	2.83338	17.8074
	13.3128	6.68046	188.477	39.9012	135.356	961.789	0.147764	-948.476	911.173	2.57191	19.4863
	13.4102	6.57205	180.839	39.2311	127.726	970.163	0.144329	-956.753	900.792	2.57999	18.1374
	13.6072	6.70385	191.442	39.9102	141.109	959.796	0.143104	-946.189	914.88	2.5485	19.7978
	13.9324	6.94985	183.92	39.3413	108.149	967.208	0.146898	-953.275	905.605	2.62406	17.4932
	13.4427	6.63729	231.705	40.2846	144.521	917.273	0.142932	-903.83	953.185	2.464	23.632
	13.1674	6.48843	174.588	39.4864	151.415	977.304	0.148699	-964.136	895.523	2.46724	18.0892
	13.3128	6.50103	196.774	39.5133	166.663	954.438	0.144923	-941.125	920.046	2.55113	19.9114
	13.1724	6.36073	203.434	39.7415	116.08	946.808	0.147003	-933.636	926.125	2.59998	20.1032
	13.1518	6.36046	174.598	38.9033	141.56	976.209	0.143188	-963.057	895.156	2.59136	17.1869
	14.3047	6.64806	181.686	39.2618	109.63	969.719	0.142601	-955.414	902.577	2.85974	17.3786
	13.1114	6.68753	253.684	40.8589	144.528	892.961	0.136691	-879.849	974.29	2.62618	24.3817
	13.6968	6.81336	189.941	39.3949	108.899	960.048	0.145176	-946.351	911.29	2.56193	18.2913
	13.486	6.61708	184.376	39.7605	134.374	965.663	0.151554	-952.177	905.844	2.51121	18.6859
	14.1104	6.73731	237.738	40.4374	137.327	914.274	0.146175	-900.164	958.123	2.79549	23.4205
	12.9616	6.6528	219.049	40.3098	116.73	929.325	0.146479	-916.363	944.645	2.45473	22.2136
	13.3555	6.56049	174.962	39.273	148.421	976.047	0.142462	-962.692	895.812	2.5265	17.7689
	13.5957	6.94275	195.62	39.6548	116.382	955.186	0.149157	-941.59	918.936	2.4505	18.6948
	13.4257	6.55777	181.726	39.4445	143.009	968.579	0.145177	-955.153	903.17	2.52619	18.5585
	13.1663	6.74199	181.458	39.3823	115.719	968.465	0.148506	-955.298	902.842	2.45496	17.3642
	13.7669	6.67842	353.242	42.2366	137.773	796.42	0.146449	-782.653	1078.15	2.72738	27.0939
	13.8125	6.96665	193.914	39.4021	104.051	957.264	0.137556	-943.451	916.976	2.5857	18.6932
	14.2317	6.85068	198.357	39.7605	145.917	954.387	0.147681	-940.155	918.908	2.79417	19.6052
	13.3592	6.66388	179.566	38.7964	100.647	970.029	0.143432	-956.67	901.086	2.51305	17.3656
	14.3779	6.94517	239.764	41.1529	113.749	911.684	0.14674	-897.306	960.755	2.7838	24.3276
	13.8737	6.67502	179.335	39.5983	152.867	973.114	0.142378	-959.241	900.337	2.64798	18.9434
	14.1215	6.84545	175.891	39.1705	100.439	974.461	0.141922	-960.34	896.544	2.71108	17.3155
	13.6145	6.88499	269.699	40.361	103.439	880.498	0.145809	-866.883	995.47	2.49522	22.7815
	13.6885	6.57078	177.372	39.6766	147.235	974.785	0.140918	-961.096	898.343	2.77785	17.9444
	14.6237	7.2325	194.291	39.8102	106.732	957.85	0.145854	-943.227	916.239	2.64438	19.103
	13.1234	6.6652	351.821	41.754	140.85	795.685	0.146341	-782.561	1074.71	2.52667	26.7696
	13.4747	6.63644	185.067	39.3996	112.65	964.996	0.147295	-951.521	905.803	2.4912	17.9361
	13.2044	6.57223	189.15	39.6814	98.2615	960.05	0.145941	-946.846	911.677	2.36144	19.5092
	13.7244	6.95117	264.814	41.3888	165.423	888.882	0.147613	-875.157	991.682	2.51842	24.7271
	13.4901	6.57471	195.023	39.5604	124.379	955.603	0.148277	-942.113	915.762	2.61232	19.7017
	14.167	6.85622	177.683	39.0002	100.01	972.486	0.141492	-958.319	899.923	2.60643	16.9515
	13.6532	6.91736	202.493	39.5057	98.9324	949.024	0.147346	-935.371	923.483	2.55352	18.828
	14.02	6.79725	179.396	39.2266	108.965	970.826	0.143669	-956.806	901.914	2.76068	17.9358
	13.9737	6.76653	214.091	39.7025	104.599	936.158	0.137381	-922.184	938.286	2.63745	20.4627
	14.3593	6.71767	195.279	39.4772	107.949	955.751	0.146199	-941.392	915.454	2.966	18.7405
	13.5902	6.75126	186.246	39.6741	128.042	965.767	0.149072	-952.177	907.243	2.55381	18.8059
	13.066	6.37934	186.977	39.2944	115.154	961.567	0.145929	-948.501	909.064	2.54899	17.8445
	13.6262	6.55895	187.658	39.3522	164.547	962.99	0.1506	-949.364	907.831	2.54585	18.5792
	13.4887	6.70516	179.761	39.3998	128.162	970.796	0.146099	-957.307	901.457	2.66791	18.1024
	13.6637	6.83183	170.535	39.3562	136.949	981.815	0.149746	-968.152	890.624	2.60171	18.11
	13.1394	6.19826	189.778	39.6099	143.187	961.423	0.145711	-948.284	912.182	2.5291	19.8617
	14.3062	6.88163	330.275	41.7393	106.601	817.309	0.140918	-803.003	1054.24	2.55193	25.7542
	14.4465	7.17698	194.896	39.8575	100.229	956.763	0.146484	-942.316	916.478	2.48481	19.0215
	13.4123	6.68683	179.91	38.6893	115.983	971.614	0.145186	-958.202	899.787	2.51046	17.2753
	13.448	6.63212	178.529	39.7213	141.616	973.323	0.149685	-959.875	899.428	2.51674	17.6617
