runId	fit_min	fit_max	fit_avg	fit_std
1	14.4932	9906.59	116.173	698.347
2	14.494	9906.59	129.679	760.403
3	14.552	9906.59	146.252	876.708
4	14.3753	7307.87	107.357	707.995
5	14.7643	9906.59	188.796	1046.8
6	14.4843	9906.59	123.383	864.996
7	14.7683	9906.59	138.164	878.734
8	14.4843	9906.59	91.6594	667.138
9	14.6277	7878.5	154.101	911.467
10	14.6121	7358.54	111.555	743.151
11	14.6273	6711.15	85.8837	452.894
12	14.4583	9906.59	204.922	1071.07
13	14.6812	9906.59	155.145	934.139
14	14.75	9906.59	196.375	1066.92
15	14.4153	9906.59	96.3467	728.332
16	14.3994	9906.59	97.3808	722.9
17	14.6666	9906.59	108.304	723.703
18	14.4588	7358.54	103.107	697.62
19	14.5039	9906.59	103.715	749.495
20	14.5728	7358.54	126.442	812.732
21	14.297	9906.59	117.882	825.913
22	14.7017	7358.54	95.2268	674.699
23	14.5121	9906.59	87.4516	707.594
24	14.6497	9906.59	124.431	778.438
25	14.3575	9906.59	151.884	934.054
26	14.9367	7307.87	107.379	707.602
27	14.5839	9906.59	144.899	916.619
28	14.5239	9906.59	107.597	801.248
29	14.4777	9906.59	135.798	834.995
30	14.7101	9906.59	102.8	712.336
31	14.4161	9906.59	126.053	816.787
32	14.4983	9906.59	117.921	801.724
33	14.6285	7373.05	275.32	1225.23
34	14.3876	9906.59	102.409	706.668
35	14.7328	9906.59	121.82	788.529
36	15.0429	9906.59	173.362	1010.75
37	14.75	7431.18	57.6342	398.048
38	14.3966	9906.59	127.741	873.064
39	14.8744	9906.59	136.275	831.911
40	14.8108	9906.59	86.41	593.771
41	14.6751	9906.59	147.041	928.162
42	14.6188	7358.54	141.336	723.147
43	14.4299	7685.67	71.6894	560.876
44	14.437	9906.59	100.53	730.342
45	14.7735	9906.59	270.789	1224.94
46	14.6736	9906.59	112.576	844.609
47	14.6376	9906.59	124.065	766.122
48	14.5369	9906.59	118.267	770.072
49	14.5626	7358.54	82.3986	645.474
50	14.8134	7358.54	105.472	747.482
